07/11/2018,SHOPPERSDRUGMART1258,13.21,,182.43
07/11/2018,THE BEER STORE #4608,13.50,,195.93
07/12/2018,PAYMENT - THANK YOU,,200.00,-4.07
07/14/2018,DOMINO'S PIZZA #10503,24.84,,20.77
07/15/2018,WHOLE FOODS MARKET,32.38,,53.15
07/15/2018,JACK ASTOR'S LANSDOWNE PA,49.42,,102.57
07/16/2018,Spotify P06B698AFD,4.99,,107.56
07/16/2018,ROOSTERS COFFEE HOUSE,9.30,,116.86
07/18/2018,ROOSTERS COFFEE HOUSE,3.57,,120.43
07/18/2018,WAL-MART SUPERCENTER#1200,74.87,,195.30
07/20/2018,LANSDOWNE STADIUM LIMITED,61.00,,256.30
07/22/2018,ESSO 450 BANK STREET,20.00,,276.30
07/23/2018,SOUP GUY CAFE,16.93,,293.23
07/27/2018,PAYMENT - THANK YOU,,300.00,-6.77
07/28/2018,WHOLE FOODS MARKET,24.61,,17.84
07/28/2018,DOMINO'S PIZZA #10503,9.14,,26.98
07/29/2018,LA BRIOCHE,5.00,,31.98
07/29/2018,WAL-MART SUPERCENTER#1200,68.31,,100.29
07/30/2018,PAYMENT - THANK YOU,,133.11,-32.82
07/30/2018,TIM HORTONS 2936 QPS,6.41,,-26.41
07/31/2018,TIM HORTONS 2936 QPS,4.07,,-22.34
